CustomerID,Gender,Age,Annual Income (k$),Spending Score (1-100)
1,Male,42,15,21
2,Male,26,61,56
3,Male,47,48,94
4,Female,49,71,10
5,Male,18,78,19
6,Female,22,63,40
7,Female,40,79,38
8,Female,34,66,70
9,Male,38,73,56
10,Female,28,42,7
11,Female,49,56,62
12,Female,47,65,36
13,Male,39,81,81
14,Male,52,50,35
15,Female,44,73,35
16,Male,28,53,63
17,Male,42,57,68
18,Female,26,81,61
19,Female,49,15,10
20,Female,37,28,63
21,Male,36,23,25
22,Female,30,15,56
23,Male,53,43,16
24,Female,36,79,61
25,Female,33,53,31
26,Male,34,65,19
27,Male,44,87,67
28,Male,42,93,56
29,Female,43,58,35
30,Female,43,94,85
31,Female,64,62,39
32,Female,33,39,51
33,Female,32,45,56
34,Female,28,23,35
35,Male,45,38,61
36,Male,52,51,37
37,Female,37,80,40
38,Female,28,103,83
39,Male,28,25,25
40,Female,46,70,1
41,Female,47,34,89
42,Female,45,72,99
43,Female,30,57,40
44,Male,41,15,4
45,Male,39,83,43
46,Male,41,45,43
47,Female,48,47,45
48,Female,41,33,23
49,Male,46,44,64
50,Male,39,71,63
51,Male,41,55,14
52,Female,46,68,67
53,Female,21,69,99
54,Male,34,93,54
55,Male,32,51,42
56,Female,30,23,47
57,Male,35,87,65
58,Female,56,52,8
59,Male,28,88,54
60,Male,50,70,41
61,Female,18,57,94
62,Male,34,69,46
63,Male,40,109,90
64,Male,45,112,24
65,Male,47,62,64
66,Male,48,64,58
67,Male,34,87,29
68,Male,32,39,54
69,Male,48,68,79
70,Female,36,59,42
71,Female,23,68,9
72,Male,24,39,50
73,Male,27,20,28
74,Female,44,15,42
75,Female,40,32,48
76,Female,46,49,9
77,Male,33,53,11
78,Male,40,108,62
79,Male,46,88,37
80,Male,34,36,1
81,Female,43,69,69
82,Male,30,50,57
83,Male,34,53,33
84,Male,33,65,18
85,Female,24,75,70
86,Male,44,52,58
87,Female,32,87,99
88,Male,38,31,60
89,Female,44,60,59
90,Male,43,125,46
91,Female,46,66,70
92,Female,37,96,65
93,Female,33,62,80
94,Female,37,75,37
95,Female,18,59,40
96,Female,21,56,39
97,Female,22,41,69
98,Male,26,71,86
99,Female,43,39,39
100,Female,27,77,40
101,Female,33,87,58
102,Female,54,69,44
103,Male,34,53,73
104,Female,47,71,1
105,Male,27,52,30
106,Male,36,83,31
107,Female,27,15,1
108,Male,34,52,27
109,Male,48,15,28
110,Male,18,23,45
111,Male,43,94,77
112,Male,41,82,44
113,Male,31,42,25
114,Female,21,22,49
115,Male,39,15,75
116,Female,32,46,27
117,Female,41,121,28
118,Female,38,71,63
119,Male,57,46,45
120,Female,35,72,66
121,Female,26,21,50
122,Female,40,53,67
123,Female,41,62,25
124,Female,54,58,50
125,Female,48,80,45
126,Male,42,69,21
127,Female,56,77,12
128,Male,24,43,66
129,Female,30,82,42
130,Female,27,101,25
131,Male,33,36,48
132,Female,21,38,77
133,Male,46,93,1
134,Female,35,55,14
135,Male,20,95,28
136,Female,26,49,85
137,Male,42,96,57
138,Female,48,63,68
139,Female,62,66,23
140,Female,70,99,23
141,Female,43,51,61
142,Female,26,36,51
143,Female,18,49,63
144,Male,41,71,45
145,Female,28,21,57
146,Male,33,76,54
147,Female,31,47,69
148,Male,36,89,69
149,Female,51,15,11
150,Female,40,40,1
151,Female,36,18,74
152,Female,26,39,79
153,Female,18,66,26
154,Female,32,56,5
155,Female,37,54,52
156,Female,59,56,72
157,Female,40,65,93
158,Male,50,35,62
159,Male,32,78,41
160,Male,24,77,29
161,Female,26,70,50
162,Male,29,74,43
163,Female,64,67,26
164,Female,28,111,99
165,Male,48,58,93
166,Female,27,52,77
167,Female,49,41,28
168,Male,43,34,71
169,Male,36,29,65
170,Male,38,38,61
171,Male,30,58,80
172,Male,43,68,65
173,Female,33,61,68
174,Male,23,41,65
175,Male,23,83,58
176,Female,40,78,7
177,Female,57,56,52
178,Female,40,44,37
179,Female,37,74,19
180,Female,41,65,90
181,Male,54,24,91
182,Female,41,58,83
183,Female,33,67,56
184,Female,51,38,82
185,Male,43,65,50
186,Female,56,24,55
187,Female,40,93,24
188,Male,23,91,60
189,Female,22,54,51
190,Female,58,69,19
191,Male,59,15,49
192,Male,36,31,48
193,Female,33,53,93
194,Male,56,33,71
195,Male,25,78,50
196,Male,27,110,56
197,Male,46,31,51
198,Female,33,39,45
199,Female,38,66,24
200,Male,36,100,46
