CustomerID,Gender,Age,Annual Income (k$),Spending Score (1-100),Cluster
1,Male,42,15,21,1
2,Male,26,61,56,2
3,Male,47,48,94,2
4,Female,49,71,10,4
5,Male,18,78,19,4
6,Female,22,63,40,4
7,Female,40,79,38,4
8,Female,34,66,70,2
9,Male,38,73,56,2
10,Female,28,42,7,1
11,Female,49,56,62,2
12,Female,47,65,36,4
13,Male,39,81,81,2
14,Male,52,50,35,1
15,Female,44,73,35,4
16,Male,28,53,63,2
17,Male,42,57,68,2
18,Female,26,81,61,0
19,Female,49,15,10,1
20,Female,37,28,63,3
21,Male,36,23,25,1
22,Female,30,15,56,3
23,Male,53,43,16,1
24,Female,36,79,61,0
25,Female,33,53,31,1
26,Male,34,65,19,4
27,Male,44,87,67,0
28,Male,42,93,56,0
29,Female,43,58,35,4
30,Female,43,94,85,0
31,Female,64,62,39,4
32,Female,33,39,51,3
33,Female,32,45,56,3
34,Female,28,23,35,1
35,Male,45,38,61,3
36,Male,52,51,37,1
37,Female,37,80,40,4
38,Female,28,103,83,0
39,Male,28,25,25,1
40,Female,46,70,1,4
41,Female,47,34,89,3
42,Female,45,72,99,2
43,Female,30,57,40,4
44,Male,41,15,4,1
45,Male,39,83,43,4
46,Male,41,45,43,3
47,Female,48,47,45,3
48,Female,41,33,23,1
49,Male,46,44,64,3
50,Male,39,71,63,2
51,Male,41,55,14,1
52,Female,46,68,67,2
53,Female,21,69,99,2
54,Male,34,93,54,0
55,Male,32,51,42,3
56,Female,30,23,47,3
57,Male,35,87,65,0
58,Female,56,52,8,1
59,Male,28,88,54,0
60,Male,50,70,41,4
61,Female,18,57,94,2
62,Male,34,69,46,4
63,Male,40,109,90,0
64,Male,45,112,24,4
65,Male,47,62,64,2
66,Male,48,64,58,2
67,Male,34,87,29,4
68,Male,32,39,54,3
69,Male,48,68,79,2
70,Female,36,59,42,4
71,Female,23,68,9,4
72,Male,24,39,50,3
73,Male,27,20,28,1
74,Female,44,15,42,3
75,Female,40,32,48,3
76,Female,46,49,9,1
77,Male,33,53,11,1
78,Male,40,108,62,0
79,Male,46,88,37,4
80,Male,34,36,1,1
81,Female,43,69,69,2
82,Male,30,50,57,3
83,Male,34,53,33,1
84,Male,33,65,18,4
85,Female,24,75,70,2
86,Male,44,52,58,3
87,Female,32,87,99,2
88,Male,38,31,60,3
89,Female,44,60,59,2
90,Male,43,125,46,0
91,Female,46,66,70,2
92,Female,37,96,65,0
93,Female,33,62,80,2
94,Female,37,75,37,4
95,Female,18,59,40,4
96,Female,21,56,39,4
97,Female,22,41,69,3
98,Male,26,71,86,2
99,Female,43,39,39,1
100,Female,27,77,40,4
101,Female,33,87,58,0
102,Female,54,69,44,4
103,Male,34,53,73,2
104,Female,47,71,1,4
105,Male,27,52,30,1
106,Male,36,83,31,4
107,Female,27,15,1,1
108,Male,34,52,27,1
109,Male,48,15,28,1
110,Male,18,23,45,3
111,Male,43,94,77,0
112,Male,41,82,44,4
113,Male,31,42,25,1
114,Female,21,22,49,3
115,Male,39,15,75,3
116,Female,32,46,27,1
117,Female,41,121,28,0
118,Female,38,71,63,2
119,Male,57,46,45,3
120,Female,35,72,66,2
121,Female,26,21,50,3
122,Female,40,53,67,2
123,Female,41,62,25,4
124,Female,54,58,50,3
125,Female,48,80,45,4
126,Male,42,69,21,4
127,Female,56,77,12,4
128,Male,24,43,66,3
129,Female,30,82,42,4
130,Female,27,101,25,4
131,Male,33,36,48,3
132,Female,21,38,77,3
133,Male,46,93,1,4
134,Female,35,55,14,1
135,Male,20,95,28,4
136,Female,26,49,85,2
137,Male,42,96,57,0
138,Female,48,63,68,2
139,Female,62,66,23,4
140,Female,70,99,23,4
141,Female,43,51,61,3
142,Female,26,36,51,3
143,Female,18,49,63,3
144,Male,41,71,45,4
145,Female,28,21,57,3
146,Male,33,76,54,0
147,Female,31,47,69,3
148,Male,36,89,69,0
149,Female,51,15,11,1
150,Female,40,40,1,1
151,Female,36,18,74,3
152,Female,26,39,79,3
153,Female,18,66,26,4
154,Female,32,56,5,1
155,Female,37,54,52,3
156,Female,59,56,72,2
157,Female,40,65,93,2
158,Male,50,35,62,3
159,Male,32,78,41,4
160,Male,24,77,29,4
161,Female,26,70,50,4
162,Male,29,74,43,4
163,Female,64,67,26,4
164,Female,28,111,99,0
165,Male,48,58,93,2
166,Female,27,52,77,2
167,Female,49,41,28,1
168,Male,43,34,71,3
169,Male,36,29,65,3
170,Male,38,38,61,3
171,Male,30,58,80,2
172,Male,43,68,65,2
173,Female,33,61,68,2
174,Male,23,41,65,3
175,Male,23,83,58,0
176,Female,40,78,7,4
177,Female,57,56,52,3
178,Female,40,44,37,1
179,Female,37,74,19,4
180,Female,41,65,90,2
181,Male,54,24,91,3
182,Female,41,58,83,2
183,Female,33,67,56,2
184,Female,51,38,82,3
185,Male,43,65,50,4
186,Female,56,24,55,3
187,Female,40,93,24,4
188,Male,23,91,60,0
189,Female,22,54,51,3
190,Female,58,69,19,4
191,Male,59,15,49,3
192,Male,36,31,48,3
193,Female,33,53,93,2
194,Male,56,33,71,3
195,Male,25,78,50,4
196,Male,27,110,56,0
197,Male,46,31,51,3
198,Female,33,39,45,3
199,Female,38,66,24,4
200,Male,36,100,46,0
